time,price,status,amount
95737,12.74,S,300
95743,12.75,B,300
95743,12.75,B,100
95743,12.8,B,3200
95743,12.8,B,500
95743,12.8,B,400
95743,12.8,B,500
95808,12.78,S,600
95808,12.74,S,1450
95808,12.74,S,3850
95812,12.79,B,1000
95812,12.8,B,500
95812,12.8,B,500
95812,12.8,B,100
95812,12.81,B,100
95812,12.81,B,2500
95812,12.82,B,1000
95812,12.82,B,4300
95823,12.78,B,300
95836,12.8,B,1000
95838,12.8,B,2000
95857,12.78,S,200
95857,12.78,S,1600
95907,12.79,S,400
95908,12.79,S,1200
95908,12.79,S,300
95912,12.79,B,500
95915,12.79,S,200
95919,12.79,S,900
95923,12.79,S,3400
95925,12.79,B,200
95930,12.79,B,500
95931,12.79,B,500
95937,12.79,B,600
95953,12.79,B,1800
95953,12.8,B,8200
95954,12.78,S,1000
95956,12.79,S,1100
95959,12.79,S,500
100012,12.8,B,100
100012,12.8,B,100
100012,12.8,B,1000
100012,12.8,B,500
100012,12.8,B,300
100013,12.81,B,2000
100013,12.81,B,1000
100013,12.8,S,5000
100015,12.8,S,200
100016,12.8,S,500
100022,12.8,S,500
100025,12.8,S,1000
100031,12.8,S,300
100041,12.8,S,500
100042,12.8,S,500
100043,12.8,S,2200
100051,12.81,B,500
100106,12.81,B,500
100106,12.8,S,800
100106,12.8,S,200
100106,12.8,S,2000
100112,12.8,S,9000
100113,12.81,B,1900
100113,12.81,B,800
100113,12.81,B,300
100113,12.81,B,700
100122,12.81,B,200
100123,12.81,B,100
100123,12.81,B,3000
100123,12.81,B,100
100123,12.81,B,100
100123,12.81,S,6700
100123,12.8,S,3400
100127,12.8,B,1000
100128,12.8,B,4800
100130,12.8,B,1000
100139,12.8,B,1000
100144,12.8,B,2100
100144,12.8,B,400
100144,12.8,B,7500
100144,12.8,B,200
100157,12.8,B,300
100157,12.8,B,8000
100157,12.8,B,500
100205,12.81,B,500
100205,12.81,B,2600
100205,12.82,B,26900
100206,12.81,S,100
100208,12.81,S,800
100213,12.81,S,100
100213,12.81,S,200
100213,12.8,S,3200
100218,12.82,B,100
100225,12.81,S,2000
100225,12.81,S,2000
100234,12.82,B,1800
100237,12.81,S,1000
100239,12.82,B,100
100240,12.81,S,2000
100241,12.81,B,100
100243,12.81,B,100
100243,12.81,B,800
100245,12.81,B,4900
100245,12.82,B,100
100256,12.82,B,5200
100257,12.81,S,4300
100258,12.81,B,200
100258,12.82,B,3300
100258,12.82,B,1500
100301,12.82,B,100
100308,12.82,B,3400
100308,12.82,B,200
100312,12.82,S,200
100320,12.82,S,1600
100320,12.82,S,200
100320,12.82,S,200
100321,12.82,B,1600
100321,12.82,B,900
100330,12.82,B,1000
100330,12.83,B,100
100330,12.83,B,100
100330,12.83,B,400
100330,12.83,B,1000
100330,12.83,B,900
100330,12.84,B,500
100330,12.84,B,700
100330,12.84,B,500
100330,12.84,B,2000
100330,12.85,B,10643
100330,12.85,B,100
100330,12.85,B,200
100330,12.85,B,1200
100330,12.85,B,100
100330,12.85,B,700
100330,12.85,B,100
100330,12.85,B,500
100330,12.85,B,5000
100330,12.85,B,1300
100330,12.85,B,2000
100330,12.85,B,1900
100330,12.85,B,900
100330,12.86,B,1000
100330,12.86,B,600
100330,12.86,B,1000
100330,12.86,B,15400
100330,12.87,B,157
100337,12.83,S,300
100350,12.83,S,1000
100351,12.83,S,800
100353,12.83,B,200
100412,12.86,B,600
100412,12.86,B,1900
100412,12.86,B,100
100412,12.86,B,1000
